id,title,journal,month,year
30,Versatile Soft Robot Gripper Enabled by Stiffness and Adhesion Tuning via Thermoplastic Composite,SoRo Journal,Apr,2022
31,Sequential contact-based adaptive grasping for robotic hands,Sage Robotics,May,2022
32,LM-Jelly: Liquid Metal Enabled Biomimetic Robotic Jellyfish,SoRo Journal,May,2022
33,"Bioinspired Multimodal Multipose Hybrid Fingers for Wide-Range Force, Compliant, and Stable Grasping",SoRo Journal,May,2022
34,Analytical Modeling of the Interaction Between Soft Balloon-Like Actuators and Soft Tubular Environment for Gastrointestinal Inspection,SoRo Journal,Apr,2022
35,Soft Robot-Assisted Minimally Invasive Surgery and Interventions: Advances and Outlook,IEEE,May,2022
36,A Soft Exosuit Assisting Hip Abduction for Knee Adduction Moment Reduction During Walking,IEEE RA-L,Jun,2022
37,Sigmoidal Auxiliary Tendon-Driven Mechanism Reinforcing Structural Stiffness of Hyper-Redundant Manipulator for Endoscopic Surgery,SoRo Journal,Jun,2022
38,Closing the Control Loop with Time-Variant Embedded Soft Sensors and Recurrent Neural Networks,SoRo Journal,Apr,2022
39,Modeling the Locomotion of Articulated Soft Robots in Granular Medium,IEEE RA-L,May,2022
40,Model-Based Eversion Control of Soft Growing Robots With Pneumatic Actuation,IEEE,May,2022
41,Force/Torque-Sensorless Joint Stiffness Estimation in Articulated Soft Robots,IEEE RA-L,May,2022
42,Quasi-Static FEA Model for a Multi-Material Soft Pneumatic Actuator in SOFA,IEEE RA-L,Jun,2022
43,Nonlinear Dynamics Modeling and Fault Detection for a Soft Trunk Robot: An Adaptive NN-Based Approach,IEEE RA-L,Jun,2022
44,Learning-Based Approach for a Soft Assistive Robotic Arm to Achieve Simultaneous Position and Force Control,IEEE RA-L,Jun,2022
45,Control-Oriented Models for Hyperelastic Soft Robots Through Differential Geometry of Curves,SoRo Journal,Jun,2022
46,Topology and Morphology Design of Spherically Reconfigurable Homogeneous Modular Soft Robots,SoRo Journal,Jul,2022
47,Kinematic modeling and characterization of soft parallel robots,IEEE T-RO,Jun,2022
48,DeSKO: Stability-Assured Robust Control with a Deep Stochastic Koopman Operator,ICLR conf,May,2022
49,Simplified dynamical model and experimental verification of an underwater hydraulic soft robotic arm,"Smart Mater, Struct,",Jun,2022
50,Biological Robots: Perspectives on an Emerging Interdisciplinary Field,SoRo J,Apr,2023
51,"A Perspective on Miniature Soft Robotics: Actuation, Fabrication, Control, and Applications",Adv Intel Sys,Apr,2023
52,Soft Actuators and Robots Enabled by Additive Manufacturing,Annual Rev Control Robot Auto Sys,May,2023
53,On the Timescales of Embodied Intelligence for Autonomous Adaptive Systems,Annual Rev Control Robot Auto Sys,May,2023
54,Electroadhesion zipping with soft grippers on curved objects,Extreme Machin Lett,Jun,2023
55,Topology Design and Optimization of Modular Soft Robots Capable of Homogenous and Heterogenous Reconfiguration,ASME J Comput Nonlin Dyn,Apr,2023
56,StarBlocks: Soft Actuated Self-Connecting Blocks for Building Deformable Lattice Structures,IEEE RA-L,Jun,2023
57,Hapstick: A Soft Flexible Joystick for Stiffness Rendering via Fiber Jamming,IEEE RA-L,Jun,2023
58,A Magnetically-Actuated Coiling Soft Robot With Variable Stiffness,IEEE RA-L,Apr,2023
59,A Novel Variable Stiffness and Tunable Bending Shape Soft Robotic Finger Based on Thermoresponsive Polymers,IEEE TIM,May,2023
60,Deployment of an electrocorticography system with a soft robotic actuator,Science,May,2023
61,Soft and lightweight fabric enables powerful and high-range pneumatic actuation,Science,Apr,2023
62,Pangolin-inspired untethered magnetic robot for on-demand biomedical heating applications,Nature,Jun,2023
63,Chemically Driven Oscillating Soft Pneumatic Actuation,SoRo J,Jun,2023
64,Selaginella lepidophylla-Inspired Multi-Stimulus Cooperative Control MXene-Based Flexible Actuator,SoRo J,Jun,2023
65,Magnetic Liquid Metal Droplet Robot with Multifunction and High Output Force in Milli-Newton,SoRo J,Jun,2023
66,Electrostatic Adhesion Clutch with Superhigh Force Density Achieved by MXene-Poly(Vinylidene Fluoride�Trifluoroethylene� Chlorotrifluoroethylene) Composites,SoRo J,Jun,2023
67,Nonlinear Multimaterial Architecture for Greater Soft Material�s Toughness and Delaying Damage Propagation,SoRo J,May,2023
68,Design and Development of a Continuum Robot with Switching-Stiffness,SoRo J,May,2023
69,Multifunctional Soft Stackable Robots by Netting�Rolling�Splicing Pneumatic Artificial Muscles,SoRo J,Apr,2023
70,Recent Advances in Electrically Driven Soft Actuators across Dimensional Scales from 2D to 3D,Adv Intel Sys,Jun,2022
71,Electrodeposited Superhydrophilic-Superhydrophobic Composites for Untethered Multi-Stimuli-Responsive Soft Millirobots,Adv Sci,Jun,2023
72,Reconfigurable Liquid-Bodied Miniature Machines: Magnetic Control and Microrobotic Applications,Adv Intel Sys,May,2023
73,Shape Memory Soft Robotics with Yield Stress Fluids,Adv Intel Sys,May,2023
74,Thin-Film-Shaped Flexible Actuators,Adv Intel Sys,Apr,2023
75,3D Knitting for Pneumatic Soft Robotics,Adv Func Mater,Apr,2023
76,"Fully Recyclable, Healable, Soft, and Stretchable Dynamic Polymers for Magnetic Soft Robots",Adv Func Mater,Apr,2023
77,Kinematic modelling and experimental testing of a particle-jamming soft robot based on a DEM-FEM coupling method,Bioinsp Biomim,Jun,2023
78,Soft Multimaterial Magnetic Fibers and Textiles,Adv Mater,Apr,2023
79,Development of an Active Physical Interface for Physical Human-Robot Interaction: Investigation of Soft Pneumatic Actuator Straps for Automatic Enclosure System,Actuators,May,2023
80,Optical Soft Tactile Sensor Algorithm Based on Multiscale ResNet,IEEE Sensors,May,2023
81,3-D Printed Microfluidic Coils With Liquid Metal for Wireless Motion Sensing,IEEE Sensors- L,May,2023
82,Permeable Thermistor Temperature Sensors Based on Porous Melamine Foam,IEEE Sensors- L,May,2023
83,EM-Skin: An Artificial Robotic Skin Using Magnetic Inductance Tomography,IEEE TIM,May,2023
84,In situ sensing physiological properties of biological tissues using wireless miniature soft robots,Science,Jun,2023
85,"Neuromorphic sensorimotor loop embodied by monolithically integrated, low-voltage, soft e-skin",Science,May,2023
86,Multi-parameter e-skin based on biomimetic mechanoreceptors and stress field sensing,Nature,Apr,2023
87,A Passive Wireless Sensing Method Based on Magnetic Resonance Coupling and Bulk Acoustic Wave Device,IEEE Sens,Apr,2023
88,An Artificial Intelligence-Motivated Skin-Like Optical Fiber Tactile Sensor,Adv Intel Sys,Apr,2023
89,Soft Steps: Exploring Quadrupedal Locomotion With Modular Soft Robots,IEEE Access,Jun,2023
90,"Autonomous, untethered gait-like synchronization of lobed loops made from liquid crystal elastomer fibers via spontaneous snap-through",Science,May,2023
91,Soft climbing robot with magnetic feet for multimodal locomotion,Nature,May,2023
92,A Soft-Bodied Aerial Robot for Collision Resilience and Contact- Reactive Perching,SoRo J,Apr,2023
93,Kirigami Makes a Soft Magnetic Sheet Crawl,Adv Sci,Jun,2023
94,Recent Development of Jumping Motions Based on Soft Actuators,Adv Func Mater,May,2023
95,A Highly Robust Amphibious Soft Robot with Imperceptibility Based on a Water-Stable and Self-Healing Ionic Conductor,Adv Mater,Apr,2023
96,Jamming Gripper-Inspired Soft Jig for Perceptive Parts Fixing,IEEE Access,Jun,2023
97,TRIGGER: A Lightweight Universal Jamming Gripper for Aerial Grasping,IEEE Access,May,2023
98,A Fault-Tolerant Soft Swallowing Robot Capable of Grasping Delicate Structures Underwater,IEEE RA-L,Apr,2023
99,A Soft Hand Exoskeleton With a Novel Tendon Layout to Improve Stable Wearing in Grasping Assistance,IEEE ToH,Jun,2023
100,JamTac: A Tactile Jamming Gripper for Searching and Grasping in Low- Visibility Environments,SoRo J,Jun,2023
101,A Preprogrammable Continuum Robot Inspired by Elephant Trunk for Dexterous Manipulation,SoRo J,Jun,2023
102,Improvement of Precision Grasping Performance by Interaction Between Soft Finger Pulp and Hard Nail,SoRo J,Apr,2023
103,An Anthropomorphic Robotic Hand With a Soft-Rigid Hybrid Structure and Positive- Negative Pneumatic Actuation,IEEE RA-L,Jun,2023
104,DeforMoBot: A Bio-Inspired Deformable Mobile Robot for Navigation Among Obstacles,IEEE RA-L,May,2023
105,�RobOstrich� Manipulator: A Novel Mechanical Design and Control Based on the Anatomy and Behavior of an Ostrich Neck,IEEE RA-L,Apr,2023
106,Biomimetic thermoresponsive superstructures by colloidal soft-and- hard co-assembly,Science,Jun,2023
107,A versatile jellyfish-like robotic platform for effective underwater propulsion and manipulation,Science,Apr,2023
108,"Bio-Mimic, Fast-Moving, and Flippable Soft Piezoelectric Robots",Adv Sci,May,2023
109,Bioinspired Synergy Strategies Empower Small-Scale Robots with Higher Performance,Adv Intel Sys,Apr,2023
110,A worm-inspired robot based on origami structures driven by the magnetic field,Bioinsp Biomim,May,2023
111,Posture Estimation by Clustering Pressure Information and Control Implementation for Pneumatically Driven Gait-Assistive Robot,IEEE Access,Apr,2023
112,TacMMs: Tactile Mobile Manipulators for Warehouse Automation,IEEE RA-L,Jun,2023
113,Toward Continuum Robot Tentacles for Lung Interventions: Exploring Folding Support Disks,IEEE RA-L,Apr,2023
114,A Human Lower Limb Mechanical Phantom for the Testing of Knee Exoskeletons,IEEE TNSRE,Jun,2023
115,Robotic endoscope with double-balloon and double-bend tube for colonoscopy,Nature,Jun,2023
116,A Hybrid Anchoring Technology Composed of Reinforced Flexible Shells for a Knee Unloading Exosuit,SoRo J,May,2023
117,"Tunable, Textile-Based Joint Impedance Module for Soft Robotic Applications",SoRo J,Apr,2023
118,Design and Modeling of Fabric-Shelled Pneumatic Bending Soft Actuators,IEEE RA-L,Apr,2023
119,Ablation Study of a Dynamic Model for a 3D-Printed Pneumatic Soft Robotic Arm,IEEE Access,Apr,2023
120,Independent and Hybrid Magnetic Manipulation for Full Body Controlled Soft Continuum Robots,IEEE RA-L,Jun,2023
121,A Framework for Simulation of Magnetic Soft Robots Using the Material Point Method,IEEE RA-L,Apr,2023
122,Residual Reinforcement Learning for Motion Control of a Bionic Exploration Robot �RoboDact�,IEEE TIM,Jun,2023
123,Cosserat Rod Modeling of Continuum Robots from Newtonian and Lagrangian Perspectives,IEEE TRo,Jun,2023
124,Human-Powered Master Controllers for Reconfigurable Fluidic Soft Robots,SoRo J,May,2023
125,Kinetostatic Modeling of Soft Robots: Energy-Minimization Approach and 99-Line MATLAB Implementation,SoRo J,Apr,2023
126,Koopman Operator-based Extended Kalman Filter for Cosserat Rod Wrench Estimation,IEEE SIMR,May,2023
127,Parallel-Continuum Robots: A Survey,IEEE T-RO,Jun,2024
128,Evolution of 3d printing technology in fabrication of microfluidic devices and biological applications: a comprehensive review,Sage,Apr,2024
129,Intelligent textiles are looking bright,Science,Apr,2024
130,Untethered soft actuators for soft standalone robotics,Nature,Apr,2024
131,Towards edible robots and robotic food,Nature,May,2024
132,A Review of Somatic Design for Soft Robotic Grippers: From Parts Integration to Functional Synergy,Wiley,May,2026
133,"Recent Advances in Bioinspired Soft Robots: Fabrication, Actuation, Tracking, and Applications",Wiley,Apr,2024
134,Advanced Flexible Sensing Technologies for Soft Robots,Wiley,Apr,2024
135,A Spider Leg-Inspired mm-Scale Soft Exoskeleton Enabled by Liquid via Hydration and Charge Transport,Wiley,Apr,2024
136,Compliant Electropermanent Magnets,RoboSoft,Apr,2024
137,"Hard Shell, Soft Core: Binary Actuators for Deep-Sea Applications",ICRA,May,2024
138,Electrostatically Driven Kresling Origami Soft Pump,IEEE RA-L,Jun,2024
139,Vine Robots With Magnetic Skin for Surgical Navigations,IEEE RA-L,Jun,2024
140,Workspace Expansion of Magnetic Soft Continuum Robot Using Movable Opposite Magnet,IEEE RA-L,Jun,2024
141,Design and Kinematic Modeling of a Pneumatic Soft Bellow-Type Wrist,IEEE RA-L,May,2024
142,Vacuum-Driven Class-2 Tensegrity-Based Mechanism for Quadrupedal Robot Motion,IEEE RA-L,May,2024
143,Bidirectional Support for Individual Finger Joints in Soft Rehabilitation Gloves: Integration of Foldable Pouch Actuators With Modular Elastomeric Actuators,IEEE Access,Apr,2024
144,Soft Printable Robots With Flexible Metal Endoskeleton,IEEE T-RO,Apr,2024
145,Universal Actuation Module and Kinematic Model for Heart Valve Interventional Catheter Robotization,IEEE RA-L,Apr,2024
146,"A Soft Crawling Robot That Can Self-Repair Material Removal and Deep Lengthwise Cuts, Actuated by Thin McKibben Muscles",IEEE RA-L,Apr,2024
147,Design of an Accordion-Fold-Inspired Soft Electrohydraulic Actuator for Angular Motion,IEEE RA-L,Apr,2024
148,Functional soft robotic composites based on organic photovoltaic and dielectric elastomer actuator,Nature,Apr,2024
149,A large-strain and ultrahigh energy density dielectric elastomer for fast moving soft robot,Nature,May,2024
150,Statistical field theory of polarizable polymer chains with nonlocal dipolar interactions,"Physical Rev,",Apr,2024
151,3D Printed Magnetic Bionic Robot Inspired by Octopus for Drug Transportation,SoRo Journal,Jun,2024
152,Effective On-Line Performance Modulation and Efficient Continuous Preparation of Ultra-Long Twisted and Coiled Polymer Artificial Muscles for Engineering Applications,SoRo Journal,Jun,2024
153,"Light-Responsive Hydrogel Microcrawlers, Powered and Steered with Spatially Homogeneous Illumination",SoRo Journal,Jun,2024
154,Perceptually Inspired C0-Continuity Haptic Shape Display with Trichamber Soft Actuators,SoRo Journal,May,2024
155,A Reconfigurable Soft Linkage Robot via Internal �Virtual� Joints,SoRo Journal,Apr,2024
156,Single-Material Solvent-Driven Polydimethylsiloxane Sponge Bending Actuators,SoRo Journal,Apr,2024
157,Proprioception and Control of a Soft Pneumatic Actuator Made of a Self-Healable Hydrogel,SoRo Journal,Apr,2024
158,Bioinspired Soft Electrostatic Accordion-Fold Actuators,SoRo Journal,Apr,2024
159,Origami Polyhedra-Based Soft Multicellular Robots,SoRo Journal,Apr,2024
160,Driving macro-scale transformations in three-dimensional-printed biopolymers through controlled induction of molecular anisotropy at the nanoscale,Royal Society,Jun,2024
161,Cobalt MOF-Based Porous Carbonaceous Spheres for Multimodal Soft Actuator Exhibiting Intricate Biomimetic Motions,Wiley,Jun,2024
162,Coaxial-Spun Hollow Liquid Crystal Elastomer Fiber as a Versatile Platform for Functional Composites,Wiley,Jun,2024
163,Multifunctional and Electronically Conjugated Triazine Framework for Superior Electro-Ionic Artificial Muscles,Wiley,Jun,2024
164,Design and Scalable Fast Fabrication of Biaxial Fabric Pouch Motors for Soft Robotic Artificial Muscle Applications,Wiley,Jun,2024
165,Active Fabrics With Controllable Stiffness for Robotic Assistive Interfaces,Wiley,Jun,2024
166,Thermally Driven 3D Seamless Textile Actuators for Soft Robotic Applications,Wiley,May,2024
167,Hofmeister-Effect-Driven Hybrid Glycerogels for Perfect Wide- Temperature Shape Fixity and Shape Recovery in Soft Robotics Applications,Wiley,May,2024
168,Magnetic soft centirobot to mitigate biological threats,Wiley,May,2024
169,Sheet-Based Fluidic Diodes for Embedded Fluidic Circuitry in Soft Devices,Wiley,Apr,2024
170,Dynamic Contact Force Estimation via Integration of Soft Sensor Based on Fiber Bragg Grating and Series Elastic Actuator,IEEE RA-L,Jun,2024
171,Soft Robotic Proprioception Enhancement via 3D-Printed Differential Optical Waveguide Design,IEEE RA-L,Jun,2024
172,A Planar Coil-Based Inductive Bend Sensor for Soft Robotic Applications,IEEE Sensors,Jun,2024
173,Dual-Parameter and High-Density Sensor Array Based on a-IGZO Thin Film Transistors,IEEE T-ED,May,2024
174,Hysteresis Compensation of Flexible Continuum Manipulator Using RGBD Sensing and Temporal Convolutional Network,IEEE RA-L,May,2024
175,Improving Perception Accuracy of Flexible Capacitive Stretchable Sensors Using Piecewise Power-Law Model,IEEE Sensors,May,2024
176,Stretchable Liquid Metal E-Skin for Soft Robot Proprioceptive Vibration Sensing,IEEE Sensors,Apr,2024
177,"Exploration of Electrical Impedance Tomography and Grid-Based Soft Sensors for Distributed, Large Deformation Strain Sensing Based on a Fiber-Elastomer Composite",IEEE Sensors-L,Apr,2024
178,A comparative study on the multidirectional piezo-resistive scenario of conventional and auxetic silicone-based sensors coated with graphite powder,Sage,Apr,2024
179,A three-dimensionally architected electronic skin mimicking human mechanosensation,Science,May,2024
180,A Soft Inductive Bimodal Sensor for Proprioception and Tactile Sensing of Soft Machines,SoRo Journal,Jun,2024
181,Real-Time Shape Estimation of Hyper-Redundant Flexible Manipulator Using Coiled Fiber Sensors,SoRo Journal,May,2024
182,High-Load Capable Soft Tactile Sensors: Incorporating Magnetorheological Elastomer for Accurate Contact Detection and Classification of Asymmetric Mechanical Components,Wiley,Jun,2024
183,Solar Spectrum Light-Driven Silicone-Based Fluidic Actuators,Wiley,Jun,2024
184,Glassy gels toughened by solvent,Nature,Jun,2024
185,A novel pellet-based 3D printing of high stretchable elastomer,Sage,Apr,2024
186,Programming Motion into Materials Using Electricity-Driven Liquid Crystal Elastomer Actuators,SoRo Journal,Jun,2024
187,Volumetric 3D Printing of Endoskeletal Soft Robots,Wiley,Jun,2024
188,A Naturally Inspired Extrusion-Based Microfluidic Approach for Manufacturing Tailorable Magnetic Soft Continuum Microrobotic Devices,Wiley,May,2024
189,Trajectory Planning on Rolling Locomotion of Spherical Movable Tensegrity Robots with Multi-Gait Patterns,SoRo Journal,Apr,2024
190,PEGrip: A Plant-Tendril-Inspired Passive Entanglement Gripper Enabling Fail-Safe Grasping,IEEE RA-L,Jun,2024
191,A Fractal Suction-Based Robotic Gripper for Versatile Grasping,IEEE RA-L,May,2024
192,Integrated Barometric Pressure Sensors on Legged Robots for Enhanced Tactile Exploration of Edges,IEEE RA-L,May,2024
193,On Optimal Tendon Routing-Based Design of Biologically Inspired Underactuated Hand Exoskeleton for Gross Grasping,IEEE T-MRB,Apr,2024
194,An SMA-actuated soft robot with encircling gripping by adjustable grasping span,Sage,May,2024
195,Unlocking Versatility: Magnetic-Actuated Deployable Suction Gripper for Complex Surface Handling,SoRo Journal,Jun,2024
196,Model-Based Design of Variable Stiffness Soft Gripper Actuated by Smart Hydrogels,SoRo Journal,Apr,2024
197,Stiff morphing composite beams inspired from fish fins,Royal Society,Jun,2024
198,Earthworm-Inspired Soft Skin Crawling Robot,Wiley,Apr,2024
199,"Acceptance and Usability of a Soft Robotic, Haptic Feedback Seat for Autonomy Level Transitions in Highly Automated Vehicles",IEEE ToH,Apr,2024
200,Hybrid Brain-Computer Interface Controlled Soft Robotic Glove for Stroke Rehabilitation,IEEE J-BHI,Apr,2024
201,Soft robotic platform for progressive and reversible aortic constriction in a small-animal model,Science,Jun,2024
202,Educational Soft Underwater Robot with an Electromagnetic Actuation,SoRo Journal,Jun,2024
203,Magnetic Soft Catheter Robot System for Minimally Invasive Treatments of Articular Cartilage Defects,SoRo Journal,May,2024
204,Optically Actuated Soft Microrobot Family for Single-Cell Manipulation,Wiley,Jun,2024
205,Tactile emoticons: Conveying social emotions and intentions with manual and robotic tactile feedback during social media communications,PLOS one,Jun,2024
206,Constrained trajectory optimization and force control for UAVs with universal jamming grippers,Nature,May,2024
207,Controlling Soft Robotic Arms Using Hybrid Modelling and Reinforcement Learning,IEEE RA-L,Jun,2024
208,Deformation Control of a 3D Soft Object Using RGB-D Visual Servoing and FEM-Based Dynamic Model,IEEE RA-L,Jun,2024
209,Analytical Model and Experimental Testing of the SoftFoot: An Adaptive Robot Foot for Walking Over Obstacles and Irregular Terrains,IEEE T-RO,Jun,2024
210,Robust Visual Feedback Control for Precise In-Hand Manipulation Using Parallel Soft Actuators,IEEE T-RO,Jun,2024
211,Comprehensive Gradient Computation Framework of PCS Model for Soft Robot Simulation,IEEE RA-L,May,2024
212,3-D Meso-Scale Finite Element Calculations of Free Energy on Twin Boundaries in Magnetic Shape Memory Alloys,IEEE T-M,May,2024
213,A Perturbation-Robust Framework for Admittance Control of Robotic Systems With High-Stiffness Contacts and Heavy Payload,IEEE RA-L,May,2024
214,Pressure-Based Soft Agents,Artificial Life,May,2024
215,PH-Gauss-Lobatto Reduced-Order-Model for Shape Control of Soft- Continuum Manipulators,IEEE T-RO,Apr,2024
216,Enhancing the Performance of a Biomimetic Robotic Elbow-and-Forearm System Through Bionics-Inspired Optimization,IEEE T-RO,Apr,2024
217,Cosserat-Rod-Based Dynamic Modeling of Soft Slender Robot Interacting With Environment,IEEE T-RO,Apr,2024
218,Efficient large-deformation shell elements for the simulation of electromechanical coupling effects in incompressible dielectric elastomers,Sage,Jun,2024
219,Learning Soft Millirobot Multimodal Locomotion with Sim-to-Real Transfer,Wiley,Jun,2024
220,Modeling and Experimental Validation of High-Flow Fluid-Driven Membrane Valves for Hyperactuated Soft Robots,Wiley,May,2024
221,"3D octopus kinematics of complex postures: Translation to long, thin, soft devices and their potential for clinical use",PLOSE one,May,2024
222,Outsourcing Control Requires Control Complexity,MIT Press,Jun,2024
223,"Soft, Wearable Robotics and Haptics: Technologies, Trends, and Emerging Applications",IEEE,Jan,2022
224,Soft Robotic Perspective and Concept for Planetary Small Body Exploration,SoRo Journal,Jan,2022
225,Electronics-free soft robot has a nice ring to it,Science,Feb,2022
226,Hybrid Robotic Manipulator Using Sensorized Articulated Segment Joints With Soft Inflatable Rubber Bellows,IEEE,Mar,2022
227,A Snake-Inspired Multi-Segmented Magnetic Soft Robot Towards Medical Applications,IEEE RA-L,Mar,2022
228,"Soft Artificial Muscle With Proprioceptive Feedback: Design, Modeling and Control",IEEE RA-L,Feb,2022
229,Soft Tensegrity Robot Driven by Thin Artificial Muscles for the Exploration of Unknown Spatial Configurations,IEEE RA-L,Feb,2022
230,A Healable Resistive Heater as a Stimuli-Providing System in Self- Healing Soft Robots,IEEE RA-L,Feb,2022
231,Design and Characterisation of a Muscle-Mimetic Dielectrophoretic Ratcheting Actuator,IEEE RA-L,Feb,2022
232,Body Temperature-Triggered Mechanical Instabilities for High-Speed Soft Robots,SoRo Journal,Feb,2022
233,Tuning the grasping strength of soft actuators with magnetic elastomer fingertips,smart mater struct,Mar,2022
234,"Fabrication, modeling, and characterization of soft twisting electrothermal actuators with directly printed oblique heater",J micromech microeng,Jan,2022
235,Self-healing ionic gelatin/glycerol hydrogels for strain sensing applications,Nature,Feb,2022
236,Soft Robot Skin With Conformal Adaptability for On-Body Tactile Perception of Collaborative Robots,IEEE RA-L,Mar,2022
237,Tentacled snakes-inspired flexible pressure sensor for pain sensation monitoring,Smart Mater Struct,Feb,2022
238,One reaction to make highly stretchable or extremely soft silicone elastomers from easily available materials,Nature,Jan,2022
239,A Modular Approach to Design Multi-Channel Bistable Valves for Integrated Pneumatically-Driven Soft Robots via 3D-Printing,IEEE RA-L,Feb,2022
240,Development and experiment evaluation of a compact inchworm piezoelectric actuator using three-jaw type clamping mechanism,smart mater struct,Mar,2022
241,A 3D Printed Soft Robotic Gripper With a Variable Stiffness Enabled by a Novel Positive Pressure Layer Jamming Technology,IEEE RA-L,Mar,2022
242,"Combining Suction and Friction to Stabilize a Soft Gripper to Shear and Normal Forces, for Manipulation of Soft Objects in Wet Environments",IEEE RA-L,Feb,2022
243,Tendon-Driven Soft Robotic Gripper for Blackberry Harvesting,IEEE RA-L,Jan,2022
244,A Bidirectional Soft Biomimetic Hand Driven by Water Hydraulic for Dexterous Underwater Grasping,IEEE RA-L,Jan,2022
245,Versatile Soft Robot Gripper Enabled by Stiffness and Adhesion Tuning via Thermoplastic Composite,SoRo Journal,Jan,2022
246,Pneumatically Actuated Soft Gripper with Bistable Structures,SoRo Journal,Feb,2022
247,Soft robotic origami crawler,Science,Mar,2022
248,Fluid-Driven Traveling Waves in Soft Robots,SoRo Journal,Feb,2022
249,An Ambidextrous STarfish-Inspired Exploration and Reconnaissance Robot (The ASTER-bot),SoRo Journal,Jan,2022
250,FEM-Based Nonlinear Controller for a Soft Trunk Robot,IEEE RA-L,Mar,2022
251,Layer Jamming for Variable Stiffness Shoes,IEEE RA-L,Feb,2022
252,MRI-Compatible Soft Robotic Sensing Pad for Head Motion Detection,IEEE RA-L,Feb,2022
253,Dynamic analysis of dielectric elastomer membrane for actuation in soft fish robots,Sage Journals,Mar,2022
254,Maneuver and formation control of a pair of soft pneumatic bending fingers by a cooperative strategy for planar in-hand object manipulation,Sage Journals,Feb,2022
255,The Soft Compiler: A Web-Based Tool for the Design of Modular Pneumatic Circuits for Soft Robots,IEEE RA-L,Mar,2022
256,Calibration Method for Soft Robots Modeled With FEM: Application to Anisotropy,IEEE RA-L,Mar,2022
257,Constrained Motion Planning of a Cable-Driven Soft Robot With Compressible Curvature Modeling,IEEE RA-L,Feb,2022
258,SoMoGym: A Toolkit for Developing and Evaluating Controllers and Reinforcement Learning Algorithms for Soft Robots,IEEE RA-L,Feb,2022
259,FEM-Based Exterior Workspace Boundary Estimation for Soft Robots via Optimization,IEEE RA-L,Feb,2022
260,A Static Modeling Approach for Thin-Walled Soft Robotic Arms Considering Geometric and Material Nonlinearity,IEEE RA-L,Jan,2022
